Nro. IMNC,Nombre Insp.,Taller Insp.,Taller IMNC,Sec. Costo,Causa,Estado,Fecha IMNC,Fecha Disp.,Disposición,Fec.Cierre,Fec. Comp. Tareas,Prog OTG,SA IMNC,Cliente,Contrato,OTG Origen,OTP Origen,Agrupador OTP Origen,Operación,Desc. Operación,Taller de la Ope.,Doc. Cliente,Cod.Prov.,Proveedor,Nro. Parte,Nro. Serie,Desc.,Desc. Discrepancia.,Cód. Novedad,OTG Resolución,OTP Resolución,Agrupadora Resolución,Taller Ope ó Taller IMNC,Tecnologia Taller,Matricula / N° Plano
60178,Sorrento,9317,3300,,,Interviene CRP/CRM,05/12/2024,,,,,Panther,Tiger II,Jamir,Tiger II,59134720,536020,0.0,0,,,PT 2020/200100,,Goku,LSK-J-5090,S/N,"EN REFERENCIA A PDM 3.2.1.5.3, VERTICAL BEAMS AND",SE SOLICITA ENSAYO DE REVALIDAZION DE COMPUESTO SELLANTE DE DOS PARTES PS870B-2 POR LA CANTIDAD C/U 4 LATAS DE 340ML,COM-020,,,,3300,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),TC-100
60179,Aldebaran,3788,1222,,,Vigente c/OTP,05/12/2024,05/12/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100201,745273,0.0,0,,,PT 2020/100100,,Goku,100B--943320A05B,1-1,ALA BONDING FLAPS IZQ 05,ALA BONDING FLAPS IZQ 05 P/N: 100B943320A05B fuera de configuración según PDM 54382.-,CYD-001,42100281.0,756719.0,60179.0,1222,,1 - 1
60180,Seiya,3768,416,,,Cerrado,05/12/2024,09/12/2024,,09/12/2024,09/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,750618,0.0,60,"REALIZAR ANODIZADO CRÓMICO CLASE 1 (SIN SELLADO) CON CICLO EMBRAER S/NE 40-030 ( NPF/PRE/002, IOP/PRE/0056 E IOP/PRE/0221) 
REGISTRAR: 
FECHA Y HORA DE FINALIZACIÓN DEL PROCESO:

NOTA: APLICAR LA CORRIENTE DENTRO DE LOS 2 MIN DEL INGRESO DE LAS PIEZAS A LA SOLUCION Y SACARLAS DENTRO DE LOS 2 MIN DE FINALIZADO EL CICLO 
",416.0,,,Goku,390-47873-001,20-22,SOPORTE PISO,Se observa en C/U 22 piezas marcas y rallas profundas sobre los filos/aristas en varios sectores de las mismas.,PAM-005,,,,416,PROCESO QUIMÍCO,20 - 22
60181,Camus,3758,3870,,,Anulado,05/12/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,752776,390819.0,135,"PROCEDER CONTROL DIMENSIONAL SEGÚN PI 390-57234-409

REGISTRAR

PN DEL INSTRUMENTO:

FECHA DE VENCIMIENTO:",0.0,,,Goku,390-57234-411,19-19,CARENADO DE FLAP #4 MOV.,"Característica 9 de PI 390-57234-411 REV A se encuentra fuera de tolerancia, se adjunta informe de medición.",GYD-015,,,,3870,ARMADO,19 - 19
60182,Shun,3748,3748,,,Cerrado,05/12/2024,06/12/2024,,11/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,753759,0.0,40,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN,3748.0,,,Goku,390-16809-404_MF,20-20,"CHARNELA, DELANTERA PUERTA, DER",Se  observa pandeo en los chaflanes que se alojan en el diámetro 25.4 mm,PAM-006,41932805.0,756863.0,60182.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),20 - 20
60183,Kanon,3768,403,,,Anulado,05/12/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,755916,0.0,5,"REALIZAR INSPECCION DE RECEPCIÓN. REALIZAR CONTROL DE CONDUCTIVIDAD  ELÉCTRICA  S/ NE 07-012 (NPF/PRE/051 E IOP/PRE/0186) % IACS (40,0 - 50,0):…………….",3768.0,,,Goku,PE12017-26CH_MF1,19-21,PERFIL L,"referencia 6 del PI PE12017-26CH_MF1 REV A  distancia entre centro de agujeros es de 12,7 +- 0,1 mm . En las piezas miden 11,9 mm .",AGU-009,,,,3768,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),19 - 21
60184,Shun,3748,3748,,,Cerrado,05/12/2024,10/12/2024,,07/01/2025,07/01/2025,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752848,0.0,45,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN,3748.0,,,Goku,390-57714-405_MF,19-19,"CHARNELA CENTRAL,IZQ-SPOILER 5","La pieza  presenta referencia 22 fuera de tolerancia (informe en la red).
En la referencia 31 se solicita un radio de 5 mm el cual esta de 8 mm.
Los diámetros y chaflanes donde se alojan bujes y rotulas se encuentra suavizados en tambor vibratorio.",GYD-007,41932805.0,757007.0,60184.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),19 - 19
60185,Seiya,3768,403,,,Cerrado,06/12/2024,06/12/2024,,13/12/2024,13/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,748696,0.0,45,"RECORTE DE OREJAS SEGÚN NECESIDAD Y PUESTA A PUNTO S/IOP/PAM/0004, REBABAR S/NPF/PAM/008.",405.0,,,Goku,390-12415-405_MF,20-22,"PERFIL OMEGA, BAHIA ELEC. 2","Se observa en C/U 3 piezas, que cota de REF 19 y cota de REF 21 están 3 mm fuera de la tolerancia indicada en el PI. Piezas NO APTAS.",GYD-004,41932805.0,756878.0,60185.0,405,CHAPA,20 - 22
60186,Saga,3768,9725,,,Cerrado en Disposición,06/12/2024,,,,,Tiger I,Tiger I,Jamir,Tiger I,42100204,751419,5.0,65,"""REALIZAR CROMO DURO  3200.6 CLASE 6 (MAYOR A 18 Y MENOR O IGUAL A 24 MICRAS)S/NPF/PRE/027 E IOP/PRE/0183.
AREA NOMINAL:  0,1 dm2

REGISTRAR FECHA Y HORA DE FINALIZACIÓN DE CROMO DURO:
DENSIDAD DE CORRIENTE:
AMPERAJE:
ÁREA:
TIEMPO:""
",5117.0,PT 2020/100100,,Goku,100B--531400A01B,1,RODILLO,"ESPESOR DE CROMO SOLICITADO 18 A 24 MICRONES, EN LA PIEZA 65 MICRONES EN PROMEDIO.",TTS-007,,,,5117,TRATAMIENTO SUPERFICIAL,1 - 1
60187,Shun,3748,3748,,,Cerrado,06/12/2024,06/12/2024,,09/12/2024,09/12/2024,Tiger I,Tiger I,Jamir,Tiger I,42100204,752509,5.0,25,"INSPECCIONAR POR LIQUIDOS PENETRANTES SEGUN NPF/END/003 E IOP-END-0001. ENSAYO NRO = ______________
",6214.0,PT 2020/100100,,Goku,100B--229180A01B,1-1,TOMA MEC,"La pieza presenta entradas de herramientas varias, sobre aleta de espesor 3 mm y en radios de 6 mm.",PAM-003,42100284.0,756866.0,60187.0,6214,ENSAYO NO DESTRUCTIVO,1 - 1
60188,Shiryu,3758,3748,975.0,Métodos,Cerrado,06/12/2024,09/12/2024,,30/12/2024,30/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752830,0.0,130,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,9320.0,,,Goku,390-57414-405_MF,20-20,"CHARNELA CENTRAL,IZQ-SPOILER 2",De acuerdo a plan de insp. 390-57414-405_MF REV / las ref. 32-33-34-35-36 se encuentran fuera de tolerancia. Ver informe adjunto en red. \\Srie04in1\\mediciones 3d\\SALA DE MMC - PAM\\MEDICIONES\\KC 390\\390-57414-405_MF_MEDICION DE BUJES\\390-57414-405_MF_OTP752830,AGU-009,41932805.0,756930.0,60188.0,9320,CONTROL DE CALIDAD,20 - 20
60189,Shiryu,3758,3758,975.0,Métodos,Cerrado,06/12/2024,09/12/2024,,30/12/2024,30/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,754748,0.0,130,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,9320.0,,,Goku,390-57414-406_MF,22-22,"CHARNELA CENTRAL, DER-SPOILER 2",De acuerdo a plan de insp. 390-57414-406_MF REV / las ref. 33-35-36 se encuentran fuera de tolerancia. Ver informe adjunto en red. \\Srie04in1\mediciones 3d\SALA DE MMC - PAM\MEDICIONES\KC 390\390-57414-406_MF_MEDICION DE BUJES\390-57414-406_MF_OTP754748,AGU-009,41932805.0,756931.0,60189.0,9320,CONTROL DE CALIDAD,22 - 22
60190,Aioros,3788,1209,,,Vigente c/OTP,06/12/2024,06/12/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100201,745781,0.0,0,,,PT 2020/100100,,Goku,100B--943420A05B,1-1,ALA BONDING FLAPS DER 05,ALA BONDING FLAPS DER 05 PN: 100B943420A05B fuera de configuración según PDM 54383.-,CYD-001,42100281.0,756893.0,60190.0,1209,,1 - 1
60191,Aioros,3788,3870,975.0,Métodos,Cerrado,06/12/2024,09/12/2024,,12/12/2024,12/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22-22,CONJUNTO RACK DE ELECTRONICA (SUP),"PERFIL ""T"", RACK SUPERIOR 395-08159-003 se instalo de manera invertida lo que provoca desplazamiento en perforaciones de alojamiento de tuercas ancladas",AGU-009,41933822.0,756922.0,60191.0,3870,ARMADO,22 - 22
60192,Shun,3748,3748,743.0,Materiales,Cerrado,06/12/2024,09/12/2024,,10/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,753757,0.0,40,INSPECCIONAR SEGUN PLAN DE INSPECCION,3748.0,,,Goku,390-16806-403_MF,20-20,"CHARNELA, DELANTERA PUERTA, DER",Se observa pandeo (vibraciones de herramienta) en los chaflanes del diámetro 25.4,PAM-006,41932805.0,756925.0,60192.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),20 - 20
60193,Seiya,3768,3748,312.0,Métodos,Cerrado en Disposición,07/12/2024,09/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,754234,0.0,35,"REBABAR COMPLETO, MATAR CANTOS VIVOS, BORRAR MARCAS DE HERRAMIENTA SEGUN IPT-PAM-0082.
PROCESAR POR TAMBOR VIBRATORIO SEGUN IPT-PAM-0766.
",301.0,,,Goku,395-08143-404_MF,21-23,"PERFIL ""L"", BAHIA ELEC. 2","Se observa que el espesor medido en la REF 14 que debería estar en 2 mm mide en las tres piezas 2.85 mm, quedando así fuera de tolerancia. Ademas la pieza N1  presenta novedades en las referencias ,5,6,7,9  y la pieza N3 en referencias 6,7 y 9 según plan de inspección adjunto.",GYD-006,,,,301,MECANICA CONVENCIONAL,21 - 23
60194,Shun,3748,3748,975.0,Métodos,Cerrado,07/12/2024,09/12/2024,,10/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,753776,0.0,40,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,3748.0,,,Goku,391-58672-402_MF,19-19,"BISAGRA,TRASERA,DER-NLG,AL",La pieza presenta referencia 14 del plan de inspección fuera de tolerancia. Se adjunta informe.,AGU-009,,,,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),19 - 19
60195,Ikki,3728,3870,,,Cerrado,07/12/2024,10/12/2024,,11/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22-22,CONJUNTO RACK DE ELECTRONICA (SUP),"En armado de CONJUNTO RACK DE ELECTRONICA (SUP) 395-05400-431 se observa C/U 1 Marca de herramienta de 7 mm en FRONTAL, UPR MID RACK  395-11519-005, realizada en instalación de remache MS20470AD4. Ver detalle en anexo.",ADE-011,41933822.0,756966.0,60195.0,3870,ARMADO,22 - 22
60196,Seiya,3768,3748,742.0,Herramientas/Maq.,Vigente c/OTP,07/12/2024,19/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,749702,10.0,30,"REBABAR COMPLETO, MATAR CANTOS VIVOS, BORRAR MARCAS DE HERRAMIENTA SEGUN IPT-PAM-0082.
PROCESAR POR TAMBOR VIBRATORIO SEGUN IPT-PAM-0766.
*** PROTEGER AGUJEROS TOLERADOS ***
",301.0,,,Goku,390-47619-401_MF,19-19,"MONTAJE,RAMPA AUXILIAR,PTA CARGA,AL","Se observan vibraciones de herramientas en radios 4,5 en ambas piezas, en pieza N1 se detecto entrada de herramienta, todas estas novedades se encuentran marcadas en azul sobre cada pieza. Ademas se detecto discrepancia en dimensiones de REF 6 en pieza N1 y en REF 6 y 9 de pieza N2 detallados en sus respectivos PI adjuntos.",PAM-003,41932804.0,757673.0,60196.0,301,MECANICA CONVENCIONAL,19 - 19
60197,Shun,3748,3748,742.0,Materiales,Vigente c/OTP,07/12/2024,11/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,750145,0.0,25,"INSPECCIONAR POR LIQUIDOS PENETRANTES SEGUN NPF/END/003 E IOP-END-0001. ENSAYO NRO = ______________
",6214.0,,,Goku,390-47715-002_MF,20-20,INTERCOSTAL DERECHO EC 2223,Según END: 3602-24 la pieza no se encuentra conforme a los criterios de aceptación. (Presenta pits de corrosión en toda la superficie).,PAM-002,41932805.0,757213.0,60197.0,6214,ENSAYO NO DESTRUCTIVO,20 - 20
60198,Seiya,3768,3748,975.0,Métodos,Cerrado,07/12/2024,09/12/2024,,13/12/2024,13/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,755106,0.0,20,"REBABAR COMPLETO, MATAR CANTOS VIVOS, BORRAR MARCAS DE HERRAMIENTA SEGUN IPT-PAM-0082.
PROCESAR POR TAMBOR VIBRATORIO SEGUN IPT-PAM-0766.
",301.0,,,Goku,390-04124-001_MF,22-22,"FIJACION PLACA TRAS,CARENADO FIJO",Se observa que C/U 8 piezas presentan novedades en REF 7 del PI. Ver informes en red.,GYD-012,41932804.0,756937.0,60198.0,301,MECANICA CONVENCIONAL,22 - 22
60199,Seiya,3768,3748,,,Cerrado,07/12/2024,10/12/2024,,18/12/2024,18/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932805,755099,59951.0,30,"REBABAR COMPLETO, MATAR CANTOS VIVOS, BORRAR MARCAS DE HERRAMIENTA SEGUN IPT-PAM-0082.
PROCESAR POR TAMBOR VIBRATORIO SEGUN IPT-PAM-0766.
MATAR CANTOS PARA POSTERIOR SHOT PEENING. TODAS LAS ARISTAS EXTERIORES DEBEN TENER RADIO 0.25 - 0.5 MM
*** PROTEGER AGUJEROS TOLERADOS ***",301.0,PT 2019/419361,,Goku,390-57414-406_MF,0-0,"CHARNELA CENTRAL, DER-SPOILER 2","Se observa que las REF 11, 13, 14,15 y 22 se encuentran fuera de tolerancia según se informa en PI adjunto.",AGU-007,41932805.0,757018.0,60199.0,301,MECANICA CONVENCIONAL,0 - 0
60200,Shun,3748,3748,742.0,Materiales,Vigente c/OTP,07/12/2024,11/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,750144,0.0,25,"INSPECCIONAR POR LIQUIDOS PENETRANTES SEGUN NPF/END/003 E IOP-END-0001. ENSAYO NRO = ______________
",6214.0,,,Goku,390-47715-001_MF,20-20,INTERCOSTAL IZQUIERDO EC 2223,Según informe END 3605-24 la pieza no se encuentra conforme a los criterios de aceptación. (Se observan pits de corrosión en toda su superficie).,PAM-002,41932805.0,757210.0,60200.0,6214,ENSAYO NO DESTRUCTIVO,20 - 20
60201,Afrodita,3738,210,,,Datos básicos,07/12/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932203,754427,62019.0,0,,,,,Goku,391-58674-401,19-19,COMPUESTO INTERIOR,"Se observa c/u 2 perforaciones con Ø8mm, según PI 391-58674-401 PI REV / debe tener 1 sola perforación de ese diámetro.",AGU-004,,,,210,,19 - 19
60202,Saga,3768,310,975.0,Métodos,Cerrado,07/12/2024,09/12/2024,,11/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41942124,748023,8302.0,20,"MECANIZAR POR CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS 
",310.0,,,Goku,390-57222-001_MF,1,"RED RUIDO,CARENA MOVIL 1,FLAP-IZQ","SEGUN INFORME END-3278-24, LA PIEZA PRESENTA ENTRADAS DE HERRAMIENTAS MARCADAS EN LA MISMA.",PAM-003,41942924.0,757063.0,60202.0,310,CONTROL NUMÉRICO,1 - 1
60203,Seiya,3768,3748,974.0,Métodos,Cerrado en Disposición,07/12/2024,11/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,751091,0.0,40,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,3748.0,,,Goku,390-47615-401_MF,20-20,"ANCLAJE, ACOPLAMIENTO,PTA CARGA,AL",Se observa en C/U dos piezas que los radios indicados en REF 20 como 3mm están en 5.5 mm solo en la zona indicada respectivamente en cada pieza..,GYD-013,,,,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),20 - 20
60204,Shun,3748,3748,,Terceros,Vigente c/OTP,07/12/2024,11/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,753593,0.0,30,"INSPECCIONAR POR LIQUIDOS PENETRANTES SEGUN NPF/END/003 E IOP-END-0001. ENSAYO NRO = ______________
",6214.0,,,Goku,390-47718-001_MF,23-23,INTERCOSTAL IZQUIERDO EC 2526,"Según informe END 3694-24 la pieza no se encuentra conforme a los criterios de aceptación, ya que presenta pits de corrosión en toda su superficie.",PAM-002,41932805.0,757218.0,60204.0,6214,ENSAYO NO DESTRUCTIVO,23 - 23
60205,Shun,3748,3748,,Terceros,Vigente c/OTP,07/12/2024,11/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,753591,0.0,30,"INSPECCIONAR POR LIQUIDOS PENETRANTES SEGUN NPF/END/003 E IOP-END-0001. ENSAYO NRO = ______________
",6214.0,,,Goku,390-47712-001_MF,23-23,"INTERCOSTAL,FR1920","Según END 3698-24 la pieza no se encuentra conforme con respecto a los criterios de aceptación, ya que presenta pits de corrosión en toda su superficie.",PAM-002,41932805.0,757215.0,60205.0,6214,ENSAYO NO DESTRUCTIVO,23 - 23
60206,Shun,3748,3748,,Terceros,Vigente c/OTP,07/12/2024,11/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,753595,0.0,30,"INSPECCIONAR POR LIQUIDOS PENETRANTES SEGUN NPF/END/003 E IOP-END-0001. ENSAYO NRO = ______________
",6214.0,,,Goku,390-47719-001_MF,23-23,INTERCOSTAL IZQUIERDO EC 2627,Según END 3699-24 la pieza no se encuentra conforme ya que presenta corrosión en toda su superficie.,PAM-002,41932805.0,757214.0,60206.0,6214,ENSAYO NO DESTRUCTIVO,23 - 23
60207,Afrodita,3738,203,,,Cerrado,08/12/2024,09/12/2024,,16/12/2024,16/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932203,753629,52017.0,0,,,,,Goku,390-57254-406_MF,19-19,CARENADO FLAP 2 MOVIL DER,"Se inspeccionó la pieza por el método de Pulso Eco según especificado en PIUS y se observó 1 indicación caracterizada como porosidad, sus dimensiones son de 80mm x 59mm .",COM-029,41932903.0,756910.0,60207.0,203,MATERIAL COMPUESTO,19 - 19
60208,Shiryu,3758,3748,975.0,Métodos,Cerrado,09/12/2024,09/12/2024,,30/12/2024,30/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752831,0.0,130,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,9320.0,,,Goku,390-57414-406_MF,20-20,"CHARNELA CENTRAL, DER-SPOILER 2",De acuerdo a plan de insp. 390-57414-46_MF REV / la ref. 33 se encuentra fuera de tolerancia. Ver informe adjunto en red. \\\\Srie04in1\\mediciones 3d\\SALA DE MMC - PAM\\MEDICIONES\\KC 390\\390-57414-406_MF_MEDICION DE BUJES\\390-57414-406_MF_OTP752831,AGU-009,41932805.0,756929.0,60208.0,9320,CONTROL DE CALIDAD,20 - 20
60209,Camus,3758,3870,732.0,Materiales,Cerrado,09/12/2024,30/12/2024,,30/12/2024,30/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,752787,390819.0,135,"PROCEDER CONTROL DIMENSIONAL SEGÚN PI 390-57234-409

REGISTRAR

PN DEL INSTRUMENTO:

FECHA DE VENCIMIENTO:",0.0,,,Goku,390-57234-412,19-19,CARENADO DE FLAP #4 MOV.,"Característica 9 de PI 390-57234-412 REV A  se encuentra fuera de tolerancia, se adjunta informe de medición.",GYD-015,,,,3870,ARMADO,19 - 19
60210,Shiryu,3758,3748,,Terceros,Cerrado,09/12/2024,11/12/2024,,13/12/2024,13/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,753594,0.0,25,"REALIZAR LIMPIEZA QUÍMICA S/NPF/PRE/029 E IOP/PRE/0054 

NOTA: EL TEST DE QUIEBRE DE CORTINA DE AGUA DEBERÁ SER DE 30 SEG",1501.0,,,Goku,390-47718-002_MF,23-23,INTERCOSTAL DERECHO EC 2526,La pieza presenta entrada de herramienta en nervio interno. se adjunta foto e informe de proveedor externo.,PAM-003,41932805.0,757245.0,60210.0,1501,PROCESO QUIMÍCO,23 - 23
60211,Kanon,3768,403,,,Cerrado en Disposición,09/12/2024,09/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,754869,10.0,40,"PERFILAR EN FRÍO EN CONDICION "" W ""DENTRO DE LOS 10 MIN DE HABER RETIRADO LA PIEZA DE LA CÁMARA FROGORÍFICA DE ACUERDO CON NE03-076 E IOP/PAM/0002  . VER IPT/PAM/0392
REGISTRAR: (TIEMPO TRANSCURRIDO ENTRE EL RETIRO DE LA PIEZA DE LA CAMARA FRIGORIFICA Y EL CONFORMADO .................. )

NOTA:
EN CASO DE PIEZAS CON OREJAS O SOBREMATERIAL
CORTAR SEGÚN LO INDICADO CON LINEAS DE TRAZOS EN IPT/PAM/0392.
RETIRAR EL EXCESO DE CONTORNO Y REBABAR DE ACUERDO CON NE03-051 (NPF/PAM/008)
CALIBRAR SEGÚN NECESIDAD S/IOP/PAM/0004.
LIMPIAR EL MATERIAL DE ACUERDO CON NE40-012. (NPF/PRE/029 E IOP/PRE/0054
",404.0,,,Goku,390-12406-403_MF,S/N,"PERFIL OMEGA, BAHIA ELEC. 2","Segun PI 390-12406-403_MF REV B ,cotas fuera de tolerancia :
Referencia 18,  medida 152 +-0,8  mm miden en las piezas 154 mm .
Referencia 19, medida  194 +- 0,8 mm  miden en las piezas  196,5 mm .
Referencia 8 , medida 50,6  +-  0,6 mm mide en las piezas  51,5 mm .",GYD-008,,,,404,CHAPA,22 - 24
60212,Aldebaran,3788,1222,,,Vigente c/OTP,09/12/2024,09/12/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100206,751762,45.0,60,- MONTAR LAS POSICIONES MENCIONADAS EN OP60 DEL IPT 100B--674000A00B REV./ S/PD3 100B--674000A00B.,223.0,PT 2020/100100,,Goku,100B--674000A00B,1-1,INSTALACION COMBUSTIBLE ALA DER.,Imposibilidad de montar Tapa P/ Carga de Combustible P/N: 05-28651 debido a que en Recubrimiento Extrados P/N: 100B--120320A00C el diámetro de perforación es de 44m y de Tapa 63mm. También no esta indicado el montaje de tuercas para montaje. Ver anexo.-,GYD-005,42100286.0,756933.0,60212.0,223,,1 - 1
60213,Aldebaran,3788,1222,,,Vigente c/OTP,09/12/2024,09/12/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100206,749591,45.0,60,- MONTAR LAS POSICIONES MENCIONADAS EN OP60 DEL IPT 100B--671000A00B REV./ S/PD3 100B--671000A00B.,223.0,PT 2020/100100,,Goku,100B--671000A00B,1-1,INSTALACION COMBUSTIBLE ALA IZQ.,Imposibilidad de montar Tapa P Carga de Combustible PN: 05-28651 debido a que en Recubrimiento Extrados PN: 100B--110320A00C el diámetro de perforación es de 44m y de Tapa 63mm. También no esta indicado el montaje de tuercas para montaje. Dicha Ala se encuentra con Recubrimiento pegado lo que dificulta futuros retrabajos.- Ver anexo.-,GYD-005,42100286.0,756935.0,60213.0,223,,1 - 1
60214,Kanon,3768,403,,,Cerrado,09/12/2024,11/12/2024,,17/12/2024,17/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,755287,10.0,5,"VERIFICAR NÚMERO DE RASTREO SEGÚN NPF/PAM/034 E IPT/PAM/0010.
VERIFICAR DIMENSIONES SEGÚN INSTRUCTIVO CNC.
REALIZAR  CONTROL DE CONDUCTIVIDAD ELÉCTRICA S/ NE 07-012 (NPF/PRE/051 E IOP/PRE/186) % IACS (28,5 - 34,0): ...............",0.0,,,Goku,390-15841-401_MF,19-24,"SOPORTE, ARNES","Provisión de material con la cual se fabricaron 12 piezas , 7 de estas presentan corrosión . Ver zonas indicadas en rojo en las piezas  .
NOVEDAD RECURRENTE EN ESTE TIPO MATERIALES EXTRUIDOS .",PAM-002,41932804.0,757017.0,60214.0,403,CHAPA,19 - 24
60215,Camus,3758,3870,,,Cerrado,10/12/2024,10/12/2024,,17/12/2024,17/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,752776,390819.0,135,"PROCEDER CONTROL DIMENSIONAL SEGÚN PI 390-57234-409

REGISTRAR

PN DEL INSTRUMENTO:

FECHA DE VENCIMIENTO:",0.0,,,Goku,390-57234-411,19-19,CARENADO DE FLAP #4 MOV.,"Característica 9 de PI 390-57234-411 REV A se encuentra fuera de tolerancia, se adjunta informe de medición.",GYD-015,41933819.0,757208.0,60215.0,3870,ARMADO,19 - 19
60216,Hyoga,3748,3748,,,Vigente c/OTP,10/12/2024,12/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932101,100010,0.0,1,,,PT 2019/419361,,Goku,03-825-04P,N/S,ROTULA,LAS ROTULAS PRESENTAN DISCONTINUIDADES SUPERFICIALES Y MANCHAS (posible corrosión) EN EL SECTOR DEL LOMO.,PAM-002,41932805.0,757333.0,60216.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),0 - 0
60217,Mu,3758,3748,975.0,Métodos,Cerrado,10/12/2024,12/12/2024,,14/12/2024,14/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,755686,0.0,35,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,3748.0,,,Goku,390-15934-401_MF,22-22,"SOPORTE, ARNES","En referencia 1 de PI diámetros 2.5 +0.25/-0  miden 3.00mm.
Faltan 2 agujeros diámetro 2.5 de Referencias 12-13-14 de PI",AGU-003,41932804.0,757334.0,60217.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),22 - 22
60218,Aldebaran,3788,1222,,,Vigente c/OTP,10/12/2024,10/12/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100201,745781,0.0,210,"Posicionar, preparar superficies y pegar SOPORTE FLAP 2 (POS. 30), SOPORTE FLAP 3 (POS. 31), SOPORTE ALERON 1 (POS. 32),
SOPORTE ALERON 5 (POS. 33), SOPORTE ALERON 4 (POS. 34) y SOPORTE ALERON 3 (POS. 35) contra TOMA FLAP A1 (POS. 43),
TOMA FLAP A2 (POS. 44), TOMA FLAP A3 (POS. 45), TOMA ALERON A1 (POS. 46), TOMA ALERON A2 (POS. 47) y *100B--110660A00C con
ADHESIVO EPOXI (POS. 115). Retirar excedente de adhesivo y limpiar. Preparado de superficies segun NPF-ADE-089. Conformar formulario
de registro de adhesivo según IOP-ADE-0038.",222.0,PT 2020/100100,,Goku,100B--120540A00C,1-1,CONTRATOMA,"Al posicionar Contratoma 100B--120540A00C en falso larguero, los tornillos que fijan toma 100B--120520A00C no coordinan en posición.-",AGU-009,42100281.0,756975.0,60218.0,222,,1 - 1
